duration,genre,overall_rating,rating_num,rel_link,runtime,title,abs_link,status
(2008–2014),"Drama, Fantasy, Mystery",7.9,218867,/title/tt0844441/,55 min,True Blood,https://www.imdb.com/title/tt0844441/,True
(2005–2017),"Comedy, Crime, Drama",7.9,129742,/title/tt0460627/,40 min,Bones,https://www.imdb.com/title/tt0460627/,True
(1990–1996),Comedy,7.9,106785,/title/tt0098800/,22 min,The Fresh Prince of Bel-Air,https://www.imdb.com/title/tt0098800/,True
(2011–2018),"Adventure, Fantasy, Romance",7.8,197982,/title/tt1843230/,60 min,Once Upon a Time,https://www.imdb.com/title/tt1843230/,True
(2011–2017),"Drama, Fantasy, Horror",7.8,102089,/title/tt1830617/,45 min,Grimm,https://www.imdb.com/title/tt1830617/,True
(2003– ),"Action, Crime, Drama",7.8,107472,/title/tt0364845/,60 min,NCIS: Naval Criminal Investigative Service,https://www.imdb.com/title/tt0364845/,False
(2014– ),"Drama, Mystery, Sci-Fi",7.7,175169,/title/tt2661044/,43 min,The 100,https://www.imdb.com/title/tt2661044/,False
(2012– ),"Action, Adventure, Crime",7.7,379265,/title/tt2193021/,42 min,Arrow,https://www.imdb.com/title/tt2193021/,False
(2011–2018),Comedy,7.7,169936,/title/tt1826940/,22 min,New Girl,https://www.imdb.com/title/tt1826940/,True
(2011–2017),"Action, Drama, Fantasy",7.7,115390,/title/tt1567432/,41 min,Teen Wolf,https://www.imdb.com/title/tt1567432/,True
(2009–2017),"Drama, Fantasy, Horror",7.7,261665,/title/tt1405406/,43 min,The Vampire Diaries,https://www.imdb.com/title/tt1405406/,True
(II) (2006–2010),"Drama, Fantasy, Sci-Fi",7.6,218563,/title/tt0813715/,45 min,Heroes,https://www.imdb.com/title/tt0813715/,True
(2005– ),"Drama, Romance",7.6,212136,/title/tt0413573/,41 min,Grey's Anatomy,https://www.imdb.com/title/tt0413573/,False
(2013– ),"Action, Adventure, Drama",7.5,182344,/title/tt2364582/,45 min,Agents of S.H.I.E.L.D.,https://www.imdb.com/title/tt2364582/,False
(2010–2017),"Drama, Mystery, Romance",7.5,142358,/title/tt1578873/,44 min,Pretty Little Liars,https://www.imdb.com/title/tt1578873/,True
(2004–2012),"Comedy, Drama, Mystery",7.5,106907,/title/tt0410975/,45 min,Desperate Housewives,https://www.imdb.com/title/tt0410975/,True
(2001–2011),"Adventure, Drama, Romance",7.5,108783,/title/tt0279600/,60 min,Smallville,https://www.imdb.com/title/tt0279600/,True
(2016–2018),"Action, Crime, Drama",7.4,104034,/title/tt3322314/,55 min,Luke Cage,https://www.imdb.com/title/tt3322314/,True
(2007–2012),"Drama, Romance",7.4,139309,/title/tt0397442/,42 min,Gossip Girl,https://www.imdb.com/title/tt0397442/,True
(2005– ),"Animation, Comedy",7.4,106452,/title/tt0397306/,22 min,American Dad!,https://www.imdb.com/title/tt0397306/,False
(2003–2015),"Comedy, Romance",7.1,226240,/title/tt0369179/,22 min,Two and a Half Men,https://www.imdb.com/title/tt0369179/,True
(2009–2015),"Comedy, Drama, Music",6.8,125129,/title/tt1327801/,44 min,Glee,https://www.imdb.com/title/tt1327801/,True
(2017–2018),"Action, Adventure, Crime",6.6,100242,/title/tt3322310/,55 min,Iron Fist,https://www.imdb.com/title/tt3322310/,True
